video protocol: MPEG2
revision pre-S
AVD CRC 42597b15 6ddcacef ad123d42; 0 0 0
AVD CRC ba8ac0bb b70d6df9 69153c29; 0 0 0
AVD CRC 1db24f0f 9725c329 5f6e5b3a; 0 0 0
AVD CRC 3322f0a6 df6391f2 cbec4806; 0 0 0
AVD CRC 8aaed6f6 334ff5db b53c65df; 0 0 0
AVD CRC 5154cbff 5359d796 b4dad0ae; 0 0 0
AVD CRC dd6a3767 f4a87a12 4611bffe; 0 0 0
AVD CRC 673f32e2 f54b73e1 6ef3f8fd; 0 0 0
AVD CRC a1f09727 29f6e0f5 47305e64; 0 0 0
AVD CRC d9590f74 7f5f1026 221f8fea; 0 0 0
AVD CRC b3de8169 51a3cd5d 63c6c5a0; 0 0 0
AVD CRC 6a7dcd88 84e179f4 bb8fc8d2; 0 0 0
AVD CRC d18f0c9b be3cc318 f274d1c3; 0 0 0
AVD CRC 6a0a8cc3 5aaeb2f8 9f94c739; 0 0 0
AVD CRC a10689f1 c3550ec9 b4f9a4cb; 0 0 0
AVD CRC 236516ec 1873a957 ee047055; 0 0 0
AVD CRC 3bd56a21 9c1b33d3 47de5487; 0 0 0
AVD CRC 4a8561c9 2bea4941 bad970d6; 0 0 0
AVD CRC 6bed1b7b ae8d3907 ad7ba30e; 0 0 0
AVD CRC 585b7cce 456c636e 2e42984; 0 0 0
AVD CRC 5aca2cde d762fa62 ed3a6d44; 0 0 0
AVD CRC d4e18216 88268b0f 862069ce; 0 0 0
AVD CRC d387c367 d83abc8c 9dda751e; 0 0 0
AVD CRC e7f2dd1a a55ee8ec 4bb8842c; 0 0 0
AVD CRC a8984a48 e5f5179b 29d1cfc2; 0 0 0
AVD CRC 7cc8ef6f dca35d0e f168a5f0; 0 0 0
AVD CRC 8d54925b 3a812e7c 26e66b16; 0 0 0
AVD CRC 91662c02 c895467e 8a75bb54; 0 0 0
AVD CRC ee6ed693 cdc97899 b912742e; 0 0 0
AVD CRC 9561624a 92ab83df f8d9739a; 0 0 0
AVD CRC cd4d49b1 fe604ff1 f1808e5c; 0 0 0
AVD CRC 241dee5 b9ee41c2 d8bfcd9a; 0 0 0
AVD CRC 77d0b1fe 1465afef 75bec4c9; 0 0 0
AVD CRC 39a90e1 3e464b07 ed38e401; 0 0 0
AVD CRC 84806a72 6d77db17 214b8f29; 0 0 0
AVD CRC fc5efb69 5e187d06 752bf08e; 0 0 0
AVD CRC 18c013d2 6bae317b 1d605d58; 0 0 0
AVD CRC c3a83583 d7a12bac 9e17c35a; 0 0 0
AVD CRC a71d3b84 3881d82a 57f46d49; 0 0 0
AVD CRC 4323e345 4a568d53 25ec802c; 0 0 0
AVD CRC 5c2227fb 52e9a0b4 7091a427; 0 0 0
AVD CRC 29a10cae ac6ad54e fb686c1a; 0 0 0
AVD CRC 75e10207 9f0bb14 a1b913e0; 0 0 0
AVD CRC a4e19abf 226341c0 27e5f42a; 0 0 0
AVD CRC f7d88dbe 98a63187 b8f5de43; 0 0 0
AVD CRC fd41d9e 2287d360 e9d31abb; 0 0 0
AVD CRC 9d1b2d16 e6c94b8b 2cb7e7cf; 0 0 0
AVD CRC c2b867dd 1deef6d2 76892cb7; 0 0 0
AVD CRC ab6d2f45 d8bda831 499c84b2; 0 0 0
